,MSE,MAE,MASE,key_RMSE,key_MAE,src_MSE,rel_change_%,dataset
source_only,0.2512214183807373,0.3148698210716247,1.0245203971862793,1.7590991258621216,1.361032485961914,0.2270847707986831,0.0,climate
care_v1,0.2448843866586685,0.3066538870334625,0.996309459209442,1.6765072345733645,1.2865655422210691,0.224616140127182,-2.522488632901809,climate
care_v2,0.2357001602649688,0.293615847826004,0.9484386444091796,1.473910212516785,1.127472758293152,0.224157378077507,-6.178318001630445,climate
source_only,0.5621655583381653,0.4970985054969787,0.7871029376983643,1.0855170488357544,0.7533738613128662,0.6148818731307983,0.0,finance
care_v1,0.5633604526519775,0.4968784749507904,0.7868393063545227,1.0880653858184814,0.7529324889183044,0.6139283180236816,0.2125520313525752,finance
care_v2,0.5519987940788269,0.4900764226913452,0.7768459320068359,1.0732160806655884,0.7408959865570068,0.6075505018234253,-1.8085000243331597,finance
source_only,0.1691462993621826,0.2790072560310364,0.9485151767730712,4.6086201667785645,3.56201720237732,0.3707704246044159,0.0,energy
care_v1,0.1631910949945449,0.2725060284137726,0.9246774911880492,4.442069053649902,3.4049813747406006,0.3552616536617279,-3.520741742558686,energy
care_v2,0.1559006720781326,0.263429582118988,0.893577516078949,4.182663917541504,3.126070499420166,0.3547435700893402,-7.830870278567515,energy
