Date,Close,High,Low,Open,Volume
2012-01-02,420.3320007324219,422.9532717381638,411.2021100318992,414.0552035967346,2248542
2012-01-03,427.10809326171875,431.49474198341414,420.83129619491456,421.990365442909,2708884
2012-01-04,418.3348693847656,429.74724433814373,417.0153309446835,429.71158937336554,2386770
2012-01-05,417.97808837890625,422.61436410324563,416.31971950902135,418.2634150681464,2547312
2012-01-06,417.0509948730469,423.8092433971018,412.5573808455251,415.83842130123776,2119728
2012-01-09,417.7462463378906,420.7241530529982,415.5707719221393,417.62143224271625,1509028
2012-01-10,415.6244812011719,422.7928712389717,413.1636788952752,419.0481853275342,3591790
2012-01-11,405.4959716796875,419.04816774286087,404.1229289433966,417.7642841911961,5675380
2012-01-12,388.5556945800781,397.6499306624939,381.11982790199494,392.6570167348931,9528684
2012-01-13,387.21826171875,393.495058359486,382.6711442083525,391.2839284349964,4019828
2012-01-16,395.6528015136719,397.29332178356447,384.77538112372685,386.5942197606678,3047202
2012-01-17,393.708984375,401.10919433661024,390.1604673735713,399.39736465910835,3704218
2012-01-18,383.7945861816406,390.9808242582097,372.7923529008625,385.1676287438232,11665532
2012-01-19,383.58074951171875,388.34184235606983,379.9608770784922,387.66422369050355,4163292
2012-01-20,384.98919677734375,389.0726682963803,382.671058955155,385.1496658280609,2572694
2012-01-23,384.3472900390625,389.2510438457603,383.081256086181,387.30739156900404,2130496
2012-01-24,388.27020263671875,390.51703036228656,384.45420888634237,388.0205744604272,2641310
2012-01-25,392.6692199707031,396.94278828158485,390.18376286187373,391.56059975644234,5845238
2012-01-27,396.51348876953125,400.7334468561068,393.420048987469,395.1724059439297,5209718
2012-01-30,397.5864562988281,400.16131851780756,393.65261234174505,394.2784511530992,2595558
2012-01-31,404.9713134765625,406.2229909461929,398.0334353424593,398.0334353424593,3538120
2012-02-01,403.64813232421875,405.90116949356013,396.33477629183966,403.8984940402849,2288804
2012-02-02,410.55023193359375,412.21318367722637,404.22033728304797,406.2587660945667,3386140
2012-02-03,418.97222900390625,420.56363003991316,408.0468553363443,409.47734387389505,2777558
2012-02-06,426.9471740722656,429.16445748636784,419.61592035742115,423.3173006970774,3427196
2012-02-07,428.4312744140625,432.61543550851053,426.2497883421277,432.61543550851053,3407656
2012-02-08,436.1738586425781,438.7487206290595,433.08041835191216,435.0115866692968,3627184
2012-02-09,439.3744812011719,440.5904050109437,424.85503340341,433.1160947663574,3038062
2012-02-10,441.09112548828125,442.7361784867062,433.43800349425516,439.15995733576347,2324302
2012-02-13,438.33758544921875,442.71845812251786,434.15342248041867,437.08590754256187,1631770
2012-02-14,436.2989196777344,439.71422786345613,434.51080935118625,438.08703000428244,1826646
2012-02-15,444.02362060546875,446.5985260923281,436.1201803929079,438.855998373614,2167166
2012-02-16,438.2122497558594,444.1666666998736,435.5837359423881,442.73617824029265,1886660
2012-02-17,439.4282531738281,448.45821320852934,436.6566812819891,441.60973973832984,4096568
2012-02-21,442.3965148925781,443.4514828130572,430.8453015476054,437.56861568453274,2489504
2012-02-22,447.8680725097656,453.0535934727482,439.51760437969597,441.6633371919646,3141826
2012-02-23,450.5325012207031,455.9325881435702,444.88205254468824,446.6880622618162,4086880
2012-02-24,454.1800231933594,458.06021387309835,449.6203418581505,450.246180472787,2346400
2012-02-27,447.7608642578125,457.73848807392,445.45417502270465,457.3987644677274,1861370
2012-02-28,438.6414489746094,450.74694956380824,435.9771378647265,448.90518682987226,3973490
2012-02-29,436.996337890625,443.45143470459277,433.52742074245367,443.45143470459277,3060216
2012-03-01,436.15594482421875,438.78445877165416,432.7406796459338,437.3718688078417,1568594
2012-03-02,435.3154602050781,438.8022753515143,431.64983402549126,438.4446532852132,2309232
2012-03-05,431.7574157714844,437.1753586362072,429.5043778428388,434.1534676945931,1540878
2012-03-06,429.8618469238281,436.7639722441092,425.21275872914447,430.21946909264994,1717722
2012-03-07,426.5894775390625,431.2922164913481,424.3364846907125,427.3583737206973,1945666
2012-03-09,432.2043151855469,438.802427129011,430.2015959975094,438.802427129011,2225758
2012-03-12,425.2304992675781,435.8876097448458,423.1383754334443,434.83264220090797,2240278
2012-03-13,428.0737609863281,434.49306182815394,425.5704056589227,425.5704056589227,2492464
2012-03-14,412.8926696777344,434.1532889782846,411.62309358649554,432.75855386587864,8065314
2012-03-15,416.1649169921875,418.75767781954255,409.4773996305477,414.484110193716,4284236
2012-03-16,418.25701904296875,421.9941531918429,414.1264655899611,418.4000329844181,2054724
2012-03-19,401.2520446777344,418.2569950492239,397.60431627904643,418.2569950492239,5132864
2012-03-20,405.84747314453125,409.47734656341703,400.5367931450018,403.7553923756313,3683204
2012-03-21,420.47412109375,421.92250784381815,406.45535433558535,406.59836823013063,4553242
2012-03-22,417.61322021484375,425.46300809105463,414.8416488539659,420.09867642483954,3421694
2012-03-23,423.65704345703125,426.24980376747203,416.5582532691089,420.20598134729806,3158436
2012-03-26,415.4139099121094,423.7822775414055,412.6959901120523,420.9213001402821,3053384
2012-03-27,420.1164855957031,421.8688422981241,411.9626857360885,419.4906470344837,1588246
2012-03-28,416.6654052734375,420.0807130141751,412.8567220431201,419.84824997100424,2051096
2012-03-29,408.1183776855469,416.2721801189683,404.97132897733223,411.6230921966774,2681214
2012-03-30,417.9887390136719,420.47419521248986,409.6561264009416,409.6561264009416,2543342
2012-04-02,427.09027099609375,428.7889762816131,418.4179334858109,418.4179334858109,2326988
2012-04-03,421.2789306640625,431.775132981431,420.3133682340687,429.21812564749365,2269154
2012-04-04,421.4398193359375,425.49886579857133,417.34506304316346,418.06030736714484,2165054
2012-04-09,416.3078308105469,424.85500676519746,414.2157504930892,418.41780969299754,1576628
2012-04-10,413.48260498046875,420.43838018448025,412.07001531685813,417.0946226814127,1532992
2012-04-11,407.0097961425781,413.0536197425486,405.9726830849415,411.1582047180731,1781586
2012-04-12,404.70306396484375,410.55017665218304,403.7911101348277,407.7786053376757,2114686
2012-04-13,382.0655822753906,395.06513757590955,379.5264739603514,390.2908910161097,8994680
2012-04-16,382.5662536621094,384.1934517309623,376.68338739172015,380.95695416084317,5016110
2012-04-17,390.11212158203125,391.5783636960355,384.01468999274624,388.0200406927162,2473664
2012-04-18,392.5082092285156,398.6413941931344,391.1849810770012,393.38436603630464,2882264
2012-04-19,394.439453125,395.81633374627893,390.2016380866154,393.7063536870439,1767416
2012-04-20,389.2538146972656,396.22744667586466,385.3021161024217,390.9704184924784,2450024
2012-04-23,380.5994567871094,394.242753539195,374.6629365233677,391.2208195144942,2843868
2012-04-24,427.0724182128906,430.9347554750204,399.57130567134965,401.25211256678244,18113782
2012-04-25,418.79345703125,425.57037964850673,417.52388087364,425.21275748073487,5417898
2012-04-26,427.2332763671875,429.8260367491925,416.4509606682543,418.41788233736156,5476292
2012-04-27,430.57708740234375,433.43806472727624,425.57037708371183,425.57037708371183,3711146
2012-04-30,445.81195068359375,447.0278752352468,430.57724942658973,430.57724942658973,4604822
2012-05-02,453.1967468261719,455.75375436547415,444.2025394897726,444.2025394897726,3981448
2012-05-03,457.5775451660156,459.22259834025317,450.08537851609424,451.5694755283114,3358922
2012-05-04,456.6119384765625,463.2100491025136,451.6946343459626,457.75631179403007,3571718
2012-05-07,455.3424377441406,457.2199541770146,446.4555353595476,450.6039438897445,2627762
2012-05-08,429.39697265625,441.5561278690603,427.59100667796866,438.08720987331,9631578
2012-05-09,438.2838439941406,441.5202982630399,427.0366011682246,427.35846983467445,9271544
2012-05-10,440.7872009277344,444.09520583387035,438.0871362180043,438.28384586363154,2992620
2012-05-11,440.14349365234375,442.342878768454,436.72818440533064,437.7295439613803,2745190
2012-05-14,438.42706298828125,441.3059401082268,436.2992276596732,438.90988804130336,2573752
2012-05-15,438.55218505859375,440.9482366848002,436.2276404207582,437.7296364170279,1875510
2012-05-16,437.5148010253906,444.1308085923729,431.5603854841,436.2988773901819,4567936
2012-05-17,437.0143127441406,441.6634011775889,428.8069010101893,437.0143127441406,4137524
2012-05-18,432.9552917480469,438.0514077047584,430.0943143688404,430.86321077051224,2656670
2012-05-21,432.43646240234375,438.0869069085621,430.59474420752366,433.0801994010357,2227088
2012-05-22,437.7474060058594,443.4514617820859,433.79566382392755,436.6566409967152,2360916
2012-05-23,438.140869140625,441.86014893906463,434.1891261694599,440.94819482108625,2162806
2012-05-24,436.8174743652344,439.499639978812,431.68560622226374,438.08705021767685,1205674
2012-05-25,436.5849914550781,438.08698651827046,432.4007875132716,433.47365360270413,915046
2012-05-28,437.97967529296875,439.875089482018,434.5286576856925,437.7293573382032,790194
