Date,Close,High,Low,Open,Volume
2012-01-02,241.41754150390625,242.0793202162107,235.66347222653178,237.14173634589386,5826176
2012-01-03,246.17465209960938,248.12131681158465,242.36724752524532,242.71963383146164,8903008
2012-01-04,245.32369995117188,247.09419194573687,244.17633603220239,244.5158177689118,7341424
2012-01-05,244.0990447998047,247.18021125043774,243.35132026276275,244.0174004565009,7125272
2012-01-06,243.41140747070312,246.4582030972291,241.60226503028088,243.91419883184201,7087632
2012-01-09,243.78964233398438,246.34653071408977,242.12658217091982,244.73074495294532,8265784
2012-01-10,246.11444091796875,247.1285847350409,244.96275442273497,246.66448573342703,11179176
2012-01-11,242.93443298339844,248.80451497285023,241.76556158366293,246.492581095608,13795800
2012-01-12,222.44923400878906,236.3509682311098,221.57259097774082,236.3509682311098,48970600
2012-01-13,222.10121154785156,225.0921306534517,219.3552464529485,225.00618482273256,20898944
2012-01-16,226.90980529785156,227.24070503531792,221.66283076704372,221.84760585189653,13188736
2012-01-17,228.79208374023438,229.71600134324498,226.36841571309628,227.75643237005374,8740424
2012-01-18,224.4947967529297,227.24076166957207,222.1699579863252,227.24076166957207,9700424
2012-01-19,223.00360107421875,225.41868685901278,221.4479944187836,224.8342511228239,9652336
2012-01-20,222.49652099609375,224.29278006320382,221.42219835240016,223.11532664228847,11635712
2012-01-23,223.4849853515625,224.7913580013349,222.51379310474329,222.5997389498977,5160864
2012-01-24,225.24681091308594,226.86259653757068,223.02940454416603,225.0061584187386,5653208
2012-01-25,229.1143341064453,229.90503132602208,225.6077410208628,226.46719908189465,10545360
2012-01-27,234.20237731933594,235.061835584728,230.86767505304118,232.22562330893422,12218872
2012-01-30,233.11085510253906,234.2195478031826,231.19425909266965,231.959168508417,9588456
2012-01-31,236.0072021484375,236.75062503664057,232.56936963352945,233.08504451076564,8658896
2012-02-01,235.72360229492188,236.17911934904615,231.67984716480683,235.4657648283836,6269336
2012-02-02,236.95260620117188,239.18719733691017,234.63206925252058,235.5001303560878,11538256
2012-02-03,239.20870971679688,239.96073566129414,235.4958543931095,235.4958543931095,11637200
2012-02-06,238.68017578125,241.32729059106362,236.53153000518773,241.08665905043975,7937680
2012-02-07,234.41722106933594,241.07802203464243,233.2268630843251,241.07802203464243,7221640
2012-02-08,237.9969024658203,239.10131484738994,235.60762502035593,236.17915643444556,6671496
2012-02-09,241.49913024902344,242.54768594824225,234.79107636695616,236.2650386587861,10156840
2012-02-10,239.8232421875,240.82022223587114,236.4498682678862,240.56238473883062,5177616
2012-02-13,239.6513214111328,240.691274249349,236.96123397175052,238.5211422462081,5734008
2012-02-14,240.738525390625,241.49913325129708,237.5542288000428,238.58557856328466,5477768
2012-02-15,246.15744018554688,247.0942412636257,241.93749188073264,241.93749188073264,7178328
2012-02-16,250.0121612548828,250.76418739754607,245.85239075604304,246.14889972429006,8256552
2012-02-17,253.35110473632812,255.94666443021558,249.25577362407597,250.63950978664076,11457280
2012-02-21,252.53028869628906,254.39100718148046,250.2097517117575,251.82123572879328,6049224
2012-02-22,253.7335205078125,257.321758116823,249.68976590395962,249.68976590395962,10413120
2012-02-23,252.09205627441406,256.3420952545352,250.63527834388464,252.59484787957265,10474960
2012-02-24,253.37258911132812,255.60287903410068,251.2626149482829,251.99315444787598,8536440
2012-02-27,247.81192016601562,254.82938887285752,246.83642659117936,254.82938887285752,6910568
2012-02-28,246.8708038330078,250.1023755668127,245.3710532345161,248.03967556213794,7950200
2012-02-29,247.82046508789062,249.93904209449332,246.1660080889047,248.72719766572618,8868408
2012-03-01,245.51712036132812,247.09423456465254,241.07802711438273,245.07880926538542,9806632
2012-03-02,244.57606506347656,246.23482392031667,241.77424335658372,246.23482392031667,6077656
2012-03-05,241.494873046875,246.13594737159033,240.36467291326616,245.64175890182898,5780456
2012-03-06,245.15621948242188,247.5240316904799,240.74291296544163,241.0866963427895,10349688
2012-03-07,247.85487365722656,248.81316120446994,243.66501472502696,244.25803251920678,7908568
2012-03-09,245.40113830566406,249.5007502954817,244.77372953549153,248.7272378074833,6644808
2012-03-12,242.1437225341797,250.5320421854027,239.0153033679605,250.5320421854027,7294472
2012-03-13,245.78785705566406,246.65161673207285,244.2580172828646,244.4256074331252,7710424
2012-03-14,247.42510986328125,250.53204258139363,245.28504654962555,248.38339727623588,10602088
2012-03-15,247.68731689453125,249.68555774707247,246.7075426761114,248.8132158325527,6251360
2012-03-16,246.23043823242188,250.36013850003002,244.70059865469557,249.6725720365902,9031008
2012-03-19,243.8712615966797,249.24287528823652,241.61948533375227,248.81314619291197,6061528
2012-03-20,243.3426971435547,245.2206006536452,240.90612484058664,242.8828786298601,9225384
2012-03-21,246.43252563476562,248.3834921202429,242.4532288135658,243.43730454251963,6250664
2012-03-22,243.08058166503906,247.05557608144346,241.8773401119653,247.0083016809992,5664640
2012-03-23,246.89651489257812,247.76027444712264,243.26100306991472,243.4844705606447,5497736
2012-03-26,243.29115295410156,246.57858087973764,242.4617841058792,246.57858087973764,4922664
2012-03-27,247.1715850830078,249.56518465745822,243.42435977309304,245.80505488431527,7590752
2012-03-28,244.35252380371094,247.06839862104005,242.71095055377526,246.32067432263452,5919920
2012-03-29,239.96072387695312,243.94432093474725,237.88083927774466,242.410179690167,14000208
2012-03-30,246.34654235839844,246.92237523599138,240.90616699842806,241.49918484584023,7963600
2012-04-02,244.96273803710938,248.27595313576205,244.17204079920378,246.14879438539938,4851584
2012-04-03,245.67181396484375,247.3219694382664,244.30528388127468,246.3464970147329,5451584
2012-04-04,245.0400848388672,247.08987962989102,244.42986125061717,244.85959026125468,5254144
2012-04-09,242.603515625,245.74914041062556,241.71396817004708,243.87121622033035,6541568
2012-04-10,238.19021606445312,244.7435842591893,235.23368851138343,244.25799881233164,7243056
2012-04-11,241.02650451660156,242.79699720797447,235.76662332233397,237.97972869511463,8179640
2012-04-12,236.40682983398438,243.38564627273647,235.35829516651728,242.6035310219877,11805608
2012-04-13,206.4890899658203,216.8154696416753,205.33312313011598,216.41152857046322,75255568
2012-04-16,203.2231903076172,208.5518310802313,200.51589701185355,206.2699653915145,33491480
2012-04-17,204.61123657226562,206.18404948311243,200.7780650823927,206.18404948311243,23687088
2012-04-18,203.79904174804688,206.48915032278126,202.40242206289946,206.26998426792304,19165328
2012-04-19,206.7340850830078,207.5548719322368,203.51971952753598,204.54246648167666,17113512
2012-04-20,206.90594482421875,208.71080692339822,203.04698615769047,205.81873866714466,11507520
2012-04-23,198.6121368408203,205.4104578775263,198.10506502414148,205.4104578775263,18136696
2012-04-24,201.93402099609375,203.24469485116927,188.93471472854148,198.59071575309846,53037912
2012-04-25,201.9683837890625,203.26187262964274,197.9547180271563,201.946897333182,24638504
2012-04-26,202.50552368164062,204.44790748012042,201.31518674198458,201.9726638289627,17137064
2012-04-27,205.49644470214844,206.09806541018486,202.40239534653267,202.57428697740022,14062464
2012-04-30,211.60719299316406,212.11426489291466,205.4405809566703,205.58238315391083,10869608
2012-05-02,212.45816040039062,213.833294124665,211.57721535827736,211.8565393960206,10124688
2012-05-03,213.39488220214844,214.62821319388684,211.42673118709044,211.42673118709044,11400728
2012-05-04,209.87535095214844,214.69261744159576,208.28105209843363,213.3174845836832,10800888
2012-05-07,209.5015869140625,210.46417612060375,203.51114511016328,207.04352750938713,10710000
2012-05-08,205.74569702148438,206.93605506164758,200.18070498940395,205.84024581980935,11526640
2012-05-09,203.36927795410156,205.8230350870039,202.1961260116642,203.51968312533018,10498144
2012-05-10,201.4741973876953,204.96790773972288,199.5919922262413,203.5197122052506,9084024
2012-05-11,198.64659118652344,202.83214870258374,196.99213404138584,201.4570154910408,8901312
2012-05-14,201.02294921875,201.5858984739475,198.02775031334272,199.4114652723051,7918416
2012-05-15,207.5763397216797,208.7623962311346,198.10511457915408,198.10511457915408,10267152
2012-05-16,203.55833435058594,204.9807415968134,202.31642168507287,204.37912097158167,8589288
2012-05-17,203.73887634277344,204.33189413249926,201.66327211299887,203.55838172005667,5807416
2012-05-18,204.79605102539062,206.69974296768268,197.86020502599956,199.85416527876205,5938160
2012-05-21,201.15188598632812,205.02374929236302,199.73808147367495,204.97217340830267,4776760
2012-05-22,201.20777893066406,203.52401471358147,199.70800750087793,202.40241750282038,5823208
2012-05-23,201.81796264648438,203.2446715973321,198.29418416059505,202.40239839681473,5402032
2012-05-24,207.44679260253906,208.15255898270772,201.5391555144883,204.67595170926634,7612048
2012-05-25,206.75408935546875,207.81274957059196,204.8545807232902,205.89581854729929,4313728
2012-05-28,207.88246154785156,208.9454826847732,205.8609748940273,208.59694976953588,4725784
2012-05-29,209.947509765625,211.29807477968066,207.20281312415696,208.3355450714295,5144760
2012-05-30,211.9341278076172,214.24315805641717,208.48364390785434,209.7296531645886,8051488
2012-05-31,211.67710876464844,222.36399030693372,208.3442629067957,209.81680590089982,21626352
2012-06-01,208.17868041992188,211.86441979992566,207.6384587222796,210.42672170134506,6543040
2012-06-04,207.86508178710938,208.80176418891122,204.32746346282596,206.85432761652402,4812088
2012-06-05,208.148193359375,210.15659698742047,206.91524557860683,207.81272196575685,5992720
2012-06-06,210.47032165527344,212.02565835379917,208.80606841687222,208.87577925694484,8777184
2012-06-07,213.73341369628906,214.77031170979166,212.269571441952,213.30210854018944,6647088
2012-06-08,210.7970428466797,216.86586312098888,208.49237342827715,216.86586312098888,5564824
2012-06-11,211.354736328125,213.71605565498615,210.41805399266843,211.47237471191576,3553784
2012-06-12,214.1777801513672,215.21901770311257,209.31138211241938,209.31138211241938,4134680
2012-06-13,215.22781372070312,216.93561237445672,212.77936129173818,213.58534372087357,6157784
2012-06-14,217.68495178222656,218.7044063140786,214.43487806332567,214.43487806332567,7883336
2012-06-15,219.79794311523438,220.6213479198615,218.07270083192472,218.70877769303917,6311512
2012-06-18,218.85247802734375,221.69739008092216,217.5280574976115,220.88268606306636,7117032
2012-06-19,215.82901000976562,218.26874044185018,214.16475681306062,217.83307429326365,6414080
2012-06-20,215.22781372070312,216.5260904217729,213.7334659668108,216.0904242438619,6535976
2012-06-21,217.07504272460938,218.09449736705812,212.6181647830348,213.99923513124043,6536616
2012-06-22,215.60682678222656,216.4825200391511,211.42443154701655,213.45464015532718,6414328
2012-06-25,215.0578155517578,216.7874182134067,214.19520531475362,215.64596469683036,7949448
2012-06-26,212.63990783691406,214.3390056769187,211.6945251357466,213.7465167816887,10330160
