Date,Close,High,Low,Open,Volume
2012-01-02,292.20098876953125,295.2983592398761,288.3292687312756,292.33763215179823,550952
2012-01-03,298.7601013183594,300.0354856842386,293.5218926931495,293.9773890953416,819196
2012-01-04,301.4020080566406,302.586287712139,296.39154708118315,298.8056727181896,1239328
2012-01-05,305.1826171875,308.0978055468246,301.4020022661828,301.4020022661828,1446292
2012-01-06,308.3255615234375,308.7810579784573,302.72293288565584,305.6381213183016,764727
2012-01-09,313.9737243652344,315.6590669351045,303.58840997438256,305.5926056468712,2368862
2012-01-10,315.0213317871094,318.11872986934384,312.92605925034775,314.2925485920523,1198771
2012-01-11,310.2385559082031,316.70660970191875,309.7375210388039,316.06893148643707,1091338
2012-01-12,308.781005859375,314.2925009143118,307.8244467845124,309.73753713294496,794478
2012-01-13,308.37109375,311.87842194227557,304.7271221842688,310.32972290632114,761454
2012-01-16,302.8595886230469,307.2323432477899,302.085239128731,305.68364425915814,594867
2012-01-17,308.1889343261719,310.19313013478796,301.99419277439705,302.9051858144405,786285
2012-01-18,302.81402587890625,312.47055590744213,301.58417993825327,307.91559153561354,969633
2012-01-19,302.4495849609375,306.0480173483087,299.44332008636053,305.1825631382954,1101256
2012-01-20,307.7789611816406,310.19308684055136,301.9941506245016,303.8161364502904,933672
2012-01-23,311.24072265625,313.2904567071417,307.8244992380972,310.4208345961528,1177690
2012-01-24,313.9281311035156,315.6134733795465,310.87629959848044,311.6050827334316,1602434
2012-01-25,311.83282470703125,315.20350919173796,310.37525846625493,314.2925163906058,756243
2012-01-27,314.7935485839844,317.3898836049806,310.9673955331475,315.56789801849817,1135637
2012-01-30,311.05853271484375,317.02552501047046,309.4642951609118,312.56166541972027,1011443
2012-01-31,319.07525634765625,321.3982770720671,309.41872625553356,314.20143887744706,1068217
2012-02-01,317.79986572265625,323.12917952986976,316.4789149511834,319.0752501702152,1192931
2012-02-02,310.056396484375,318.9385760392748,308.0066627409366,317.98201694489427,1340236
2012-02-03,314.4291687011719,316.84329413263475,310.01084792964843,310.6485540291117,1054585
2012-02-06,321.44384765625,323.4480153388308,317.02552656767676,319.4852184977723,1529667
2012-02-07,322.263671875,327.9118378100041,319.8495467484208,327.9118378100041,1164332
2012-02-08,320.89727783203125,324.58678828772076,317.1166625179038,322.9014735124672,1007241
2012-02-09,321.0339050292969,324.1768417784596,319.0752757775033,319.0752757775033,1110970
2012-02-10,318.6197204589844,322.26369152928015,315.7500988013851,321.03384573279675,1348441
2012-02-13,311.6506652832031,321.8537687102799,308.917686682885,321.8537687102799,1501856
2012-02-14,292.61090087890625,306.5946182324888,291.60880323043375,306.5946182324888,5296934
2012-02-15,290.06011962890625,297.80355890060196,288.69363034566584,296.52817446317,3535742
2012-02-16,296.2093200683594,299.71664810646,288.0559507292193,289.6957267411984,2001270
2012-02-17,293.11199951171875,299.1245589081166,290.8800555277839,298.7146009351326,1768936
2012-02-21,293.29412841796875,296.8925331172986,292.4286741807175,294.88836573826865,764907
2012-02-22,289.7867736816406,295.75376454539077,288.1925365102718,294.2506322012153,1137084
2012-02-23,287.23602294921875,293.3396859196167,285.23185544048243,288.7847218525419,2104238
2012-02-24,285.96063232421875,290.7433444901745,285.23184920992395,287.91926127001807,1081680
2012-02-27,285.64178466796875,291.5176994173678,283.5920508439404,289.6046089546824,1423323
2012-02-28,290.7889099121094,293.61296532224594,286.18837963829577,286.9627290706499,1173064
2012-02-29,288.73919677734375,296.93813247985656,287.8737424437825,292.42870672295624,1252248
2012-03-01,287.0993347167969,291.5176547315804,283.6375736873754,290.51555723318256,1201944
2012-03-02,287.41827392578125,290.51564437613223,286.0517845093354,290.51564437613223,1129556
2012-03-05,285.1863098144531,286.9172185265857,282.40779265242367,284.5941700030219,482920
2012-03-06,279.08270263671875,286.9172477591054,277.39736007762934,286.9172477591054,1648717
2012-03-07,281.4967956542969,282.9543898004683,276.57743973710234,279.082670119139,1856834
2012-03-09,280.1758728027344,283.77430610337694,279.6748377969076,283.3188096248804,1291983
2012-03-12,275.5753479003906,283.4098922769916,273.8444669779698,283.3187874281702,3205351
2012-03-13,280.4035949707031,281.8156506035321,276.12194515171234,278.08057426687907,884064
2012-03-14,282.2711486816406,285.1407706857911,281.49679917542954,282.3622535296589,4585070
2012-03-15,280.4035949707031,283.68317487121055,279.21931535724303,283.68317487121055,407449
2012-03-16,275.30206298828125,282.8632928687633,273.5256157289732,280.67691548897426,720011
2012-03-19,274.5276794433594,277.6250493309273,273.29783363175784,277.260657779677,510642
2012-03-20,278.17169189453125,279.21932818553887,274.20886715773963,274.6643636148123,740948
2012-03-21,279.6293029785156,281.4057225874351,275.66647800277354,278.7638485373734,741547
2012-03-22,272.9334716796875,279.2648554980086,271.47587751531916,279.2648554980086,1025331
2012-03-23,274.3911437988281,275.8942769135978,270.65606637940044,271.47595464188356,1408089
2012-03-26,263.27691650390625,274.39103967060936,260.8172248485772,274.39103967060936,4507034
2012-03-27,273.25238037109375,276.0308980927608,265.09898133661187,267.74085565908746,9810527
2012-03-28,273.7077941894531,276.03081467760865,271.56695557806444,273.297836314464,1815715
2012-03-29,272.6146240234375,274.84656773830017,268.7429042169225,273.206763845351,1258331
2012-03-30,277.9440002441406,278.71834993904986,273.7534264257815,274.3911327160134,695442
2012-04-02,281.63348388671875,282.36229497654824,276.98741396876954,277.8528684500357,444510
2012-04-03,283.81988525390625,285.8696197005198,282.40785708898244,283.31885017636625,1018547
2012-04-04,278.4449462890625,283.7742597777314,277.85280652394243,280.5857849487681,475752
2012-04-09,282.95440673828125,284.22979126704047,275.30207176442815,276.03085498049126,782999
2012-04-10,283.31884765625,286.0062883606486,280.4036586820313,285.1408338148111,865847
2012-04-11,282.5444641113281,285.8240443638908,281.6790374705277,283.2277088388912,1154930
2012-04-12,284.18426513671875,287.87377550607135,282.6355659834134,283.59209747137925,1661288
2012-04-13,286.09735107421875,287.7826937465957,284.2298264759071,286.6895187870844,1367848
2012-04-16,284.63970947265625,289.33131679930267,283.7742551982436,284.2752901141917,433148
2012-04-17,286.09735107421875,288.4203999906198,285.2319243731016,287.8737986102136,1106571
2012-04-18,286.0062561035156,291.2900042468958,285.14080165528816,286.2795428759562,878193
2012-04-19,291.3354797363281,293.06638825825087,286.32501944954686,286.9171869972011,973969
2012-04-20,293.2030944824219,294.2507308431205,289.9690527412922,292.337640035893,1324004
2012-04-23,287.23602294921875,296.02712583970856,286.50723981900455,295.11613302629365,745472
2012-04-24,285.9151611328125,290.3334827820542,284.82195840264745,290.3334827820542,571537
2012-04-25,284.3208923339844,289.78684978557794,283.91093440459593,287.7826542661414,887751
2012-04-26,281.0868835449219,287.3271912554276,277.85286946349,286.78058988638685,1778499
2012-04-27,282.9088439941406,284.22979486644294,279.3104385924757,280.676927990872,1100954
2012-04-30,284.22979736328125,286.68948942252126,283.227699568728,283.227699568728,2006375
2012-05-02,289.7413024902344,290.51565207366394,282.72667331406427,284.45755439383095,1568155
2012-05-03,289.37689208984375,294.15960486384984,287.64601112236767,291.5177309870393,1289672
2012-05-04,296.9837341308594,300.2633146692519,290.7434261816531,290.7434261816531,4511925
2012-05-07,298.39569091796875,301.8119140370172,296.98366314928,300.62763447626503,3128065
2012-05-08,296.0726623535156,300.0810251451198,292.97529236915307,298.71453593425736,2100908
2012-05-09,294.1596374511719,297.4847563783436,288.8303227809184,295.1617353227128,1228030
2012-05-10,297.34808349609375,301.6752998656332,292.0643356811751,297.849146282819,2621395
