method,MSE_mean,MSE_std,MAE_mean,MAE_std,MASE_mean,MASE_std,key_RMSE_mean,key_RMSE_std,key_MAE_mean,key_MAE_std,feat_mmd_mean,feat_mmd_std,GCR_MSE_mean,GCR_MSE_std,forgetting_%_mean,forgetting_%_std
seasonal_naive,1.023951768875122,,0.6711822748184204,,1.0611802339553833,,1.4026557207107544,,0.9584198594093323,,,,,,,
source_only,0.5611422856648763,0.0012355843809191208,0.49634359280268353,0.0013700355497488841,0.7863322297732035,0.001908005355798973,1.0830201307932537,0.00217282136786184,0.7481505274772644,0.005487781556207784,0.029209454854329426,0.005492767228863771,0.0,0.0,0.0,0.0
dann,0.5724045634269714,0.003442203013752216,0.5025914112726847,0.0008466936830038013,0.7959260940551758,0.0011503876350532764,1.0999698638916016,0.006658718383793149,0.761779765288035,0.0069583454629487595,0.023524999618530273,0.008266119547174024,-0.8374226601065132,0.09050029969039024,1.0206684785157183,0.6704118622540135
coral,0.5726361473401388,0.0020339236917152658,0.5028271675109863,0.0013417092549259243,0.7963066895802816,0.0021356456181756,1.1002590656280518,0.0029979925268638127,0.7619800567626953,0.005187849389406305,0.02454511324564616,0.00865908214222652,-0.8631568809874332,0.05863059163570848,1.0990539119452396,0.6665900721649061
mmd,0.558421810468038,0.002377141013774064,0.4934745728969574,0.0012924173839677503,0.7820695837338766,0.001974421349334028,1.0815886656443279,0.0030519047258760258,0.7459614674250284,0.001219501864627083,0.015932242075602215,0.003311151289554589,0.21203713503557034,0.12044829541554147,-0.9209538885989484,0.4304205277213185
care_noalign,0.5642590721448263,0.0015943098053161765,0.4982726375261943,0.0003335632736067991,0.7892441153526306,0.00038595814460076267,1.0878376563390095,0.0037786630372304074,0.7546899318695068,0.0034558482515738014,0.030984163284301758,0.007148742946133156,-0.23326468881777493,0.03347408739620774,0.056472134949977125,0.21416168829996834
care_nossl,0.5579554438591003,0.002246302394812195,0.49394429723421734,0.0010694961023946705,0.7827252546946207,0.0014392634347689121,1.0798429648081462,0.004786875466281748,0.7457412481307983,0.003799057995876256,0.02030483881632487,0.002809497771914723,0.2469551464511146,0.10961946728180016,-0.6768363180833625,0.22654259088809128
care_noanchor,0.5641062060991923,0.0017857249712562421,0.4976833264033,0.0005530630857558963,0.7884088158607483,0.0008584716281970695,1.087295691172282,0.002977514067690612,0.7533201177914938,0.003605480249630364,0.019649267196655273,0.0012204499419851238,-0.22032516276943034,0.024602016450369243,-0.065257538140151,0.413199900807992
care,0.5616071224212646,0.0017091473247752992,0.4964435199896495,0.0005409396133838521,0.7864876786867777,0.0006381095898923444,1.0843522548675537,0.0035994729606715074,0.751059333483378,0.003045052379848582,0.029980818430582683,0.007027463861320954,-0.032227953635873455,0.041763377638901325,-0.263522975807214,0.21071847590593762
target_only,0.5506928563117981,0.0010454623786816427,0.48958609501520794,0.0013397245275417898,0.7763898571332296,0.0019126923798001433,1.0724815527598064,0.0015517366316425492,0.7344788312911987,0.0021626466959707618,0.02516285578409831,0.0046540785394526074,0.7746398057267107,0.07446024389190989,-0.13973709260689157,0.015004771373574186
oracle_finetune,0.5477586984634399,0.0004931302995811765,0.487228661775589,0.0004228064961694012,0.7727841933568319,0.0007104338603719709,1.0670477946599324,0.0014236944475125128,0.7305215994517008,0.0011333854696397418,0.025822242101033527,0.002515938333087793,1.0,0.0,-0.9624038888840855,0.3089626323165373
