Date,Close,High,Low,Open,Volume
2024-06-27,1483.91943359375,1495.467873345381,1472.9093141359233,1492.4828598387262,3881458
2024-06-28,1488.42138671875,1506.1354224183049,1483.2833307594417,1487.5895348854942,2634599
2024-07-01,1487.6873779296875,1497.3763073412674,1471.783871397468,1488.421385923482,1451094
2024-07-02,1491.55322265625,1502.171847722658,1476.0900731580844,1481.717467768168,1336816
2024-07-03,1501.241943359375,1503.4929488566,1466.3521944244656,1486.9532791791078,1061099
2024-07-04,1524.681396484375,1537.5020452790825,1493.461566579172,1502.269662319154,2630823
2024-07-05,1534.9573974609375,1541.1719740023862,1523.8004531015813,1528.693839270822,2481046
2024-07-08,1523.21337890625,1541.221065182311,1517.87951592225,1537.1105488275616,1120204
2024-07-09,1551.594970703125,1555.999018426503,1516.7540837183344,1531.4342427962608,1492840
2024-07-10,1564.4647216796875,1567.0092588897735,1534.1745860931908,1558.837326931395,1899956
2024-07-11,1548.0228271484375,1568.3303812267245,1538.7743744033762,1566.8623652692577,1707500
2024-07-12,1548.5628662109375,1558.4296911037984,1521.760203082645,1553.17718792048,1426598
2024-07-15,1557.3006591796875,1565.6457959912527,1548.5629059246094,1551.1645291711836,832804
2024-07-16,1550.526611328125,1565.9405234005064,1546.255768569083,1560.0498380460217,688481
2024-07-18,1565.2039794921875,1567.5111403131498,1541.6412412091,1546.3046998276277,1665636
2024-07-19,1540.0704345703125,1560.7859849252718,1536.634201862504,1555.827944079777,1649335
2024-07-22,1558.4298095703125,1560.5406623688216,1526.7183599967982,1526.7183599967982,826636
2024-07-23,1572.4202880859375,1576.3965487266462,1545.617741038233,1558.0863107090404,1502677
2024-07-24,1589.9449462890625,1595.3447409528385,1562.9951099510995,1572.8129184306918,2923358
2024-07-25,1635.4505615234375,1650.6681644533007,1573.0092045922545,1585.4287561139497,5329712
2024-07-26,1683.017822265625,1692.393877322496,1634.665115398726,1640.0157730931946,4591049
2024-07-29,1691.853759765625,1697.253554153387,1661.90944543349,1683.9995133834257,3187339
2024-07-30,1670.5982666015625,1694.0137158516936,1666.0820986710648,1684.8340888942737,1525840
2024-07-31,1688.0247802734375,1699.4134134881244,1664.3147501841572,1671.0890616162785,1594881
2024-08-01,1683.950439453125,1714.6310905322928,1650.6681650394785,1694.062829987336,5258291
2024-08-02,1700.100830078125,1710.065929658509,1653.1716575867215,1669.0274422574262,2992406
2024-08-05,1689.006591796875,1725.9706632469336,1683.754088434864,1693.5718965306942,5165558
2024-08-06,1676.43994140625,1702.40799699748,1672.905434462783,1693.5719693314031,1710278
2024-08-07,1702.849609375,1705.205907193346,1678.2560729829047,1688.6629251804577,1922313
2024-08-08,1705.4024658203125,1716.7910996602293,1696.860900555654,1703.3897671482764,2480113
2024-08-09,1703.684326171875,1717.92014823975,1698.529976802472,1717.92014823975,751683
2024-08-12,1702.2607421875,1716.643855942033,1698.530046778962,1703.3898141603818,1526788
2024-08-13,1708.396728515625,1719.9326527968142,1694.1609070622426,1708.2985744058938,2076963
2024-08-14,1709.91845703125,1721.0616445081816,1701.0332933581112,1715.6618504153153,2207250
2024-08-16,1710.99853515625,1719.245518067016,1697.155449473692,1717.7237098476255,2180718
2024-08-19,1715.95654296875,1720.9144641379314,1708.936786227169,1720.9144641379314,1363446
2024-08-20,1734.16845703125,1738.5374534106454,1713.354752430794,1719.8836185879832,1766597
2024-08-21,1732.4996337890625,1739.6665622222497,1725.2835683739254,1737.7521374669489,1184193
2024-08-22,1718.7545166015625,1737.261060013632,1716.5455098849586,1737.261060013632,1369554
2024-08-23,1743.3974609375,1748.993564218094,1719.9820100688842,1721.7982807935468,3515492
2024-08-26,1740.1573486328125,1747.5698416863463,1732.352239132336,1747.5698416863463,933372
2024-08-27,1756.7987060546875,1759.9403568882003,1734.9540817804052,1745.6063802100657,1231023
2024-08-28,1778.8394775390625,1789.7863571761827,1753.8040677156985,1764.161902855644,1768949
2024-08-29,1766.4200439453125,1793.566308210585,1757.6331533431676,1776.925170868183,3205924
2024-08-30,1788.4610595703125,1794.8426349176111,1758.6640355717989,1765.3892102377706,3036374
2024-09-02,1782.86474609375,1803.5312792958337,1772.3106027881263,1796.6096769103758,1617946
2024-09-03,1778.4959716796875,1806.0349718708208,1772.212550405019,1786.841108725935,2148689
2024-09-04,1799.45703125,1801.5678840752605,1768.4819169220427,1778.496033788738,2473477
2024-09-05,1793.22265625,1810.3056663778948,1786.841080960854,1799.8005397633726,1902919
2024-09-06,1791.3082275390625,1816.2945012529176,1772.1143647359547,1786.399323481622,1701134
2024-09-09,1788.657470703125,1801.9606495540747,1779.82144279081,1791.308350984599,1544883
2024-09-10,1802.8931884765625,1808.685719295512,1792.4371987532006,1796.658904226238,1460472
2024-09-11,1812.0728759765625,1823.657938003068,1797.7388994640748,1802.9423859336384,1701900
2024-09-12,1831.4139404296875,1837.4027793801297,1806.8694202669824,1821.3506871629784,2744070
2024-09-13,1819.9761962890625,1831.0212305214304,1817.6690353297815,1831.0212305214304,1322430
2024-09-16,1829.0084228515625,1839.21896674686,1817.178036575796,1828.075779066063,1284085
2024-09-17,1832.10107421875,1835.586443897025,1825.3758999014267,1829.05757779554,738265
2024-09-18,1802.549560546875,1833.9665463516133,1796.2661394166694,1833.9665463516133,1202676
2024-09-19,1812.41650390625,1822.185174982321,1801.567778067112,1811.581894344555,1675819
2024-09-20,1831.7576904296875,1836.912040087871,1808.3422402374847,1817.3745764618773,4229991
2024-09-23,1828.76318359375,1840.8391362661755,1823.6579709943576,1832.9848892847729,812520
2024-09-24,1834.064697265625,1846.3860943029567,1822.185173498176,1822.185173498176,2528953
2024-09-25,1836.47021484375,1841.8208725317236,1824.68884465698,1839.8573108339283,956893
2024-09-26,1863.812744140625,1870.2924736232897,1833.033939213248,1836.47017210442,2452807
2024-09-27,1913.1961669921875,1923.603139185872,1880.355647686164,1883.0064078660423,3809008
2024-09-30,1891.596923828125,1924.6338700478343,1886.0499584654765,1913.490682500222,2608461
2024-10-01,1884.9700927734373,1899.5004972746456,1867.6907738032808,1889.7808429019656,1275678
2024-10-03,1876.0357666015625,1901.0221591886277,1861.5054830651875,1866.16894173814,2492195
2024-10-04,1875.25048828125,1916.6815906175768,1868.9670671139115,1876.035841023236,2798189
2024-10-07,1870.5379638671875,1883.0065327197008,1853.65138119108,1875.2505598842056,1691999
2024-10-08,1882.2210693359373,1886.4426548337285,1866.9053129501265,1869.3106279519905,2309881
2024-10-09,1895.6715087890625,1911.5272933062909,1859.983799264904,1860.0329362453656,1597182
2024-10-10,1853.356689453125,1902.642037255861,1849.5768573744976,1894.444191614771,2383012
2024-10-11,1867.2979736328125,1874.5631756349464,1856.0566312366768,1864.4017681663315,1019117
2024-10-14,1874.9559326171875,1880.8466175737017,1860.5728195457732,1868.3289120411089,676879
2024-10-15,1863.86181640625,1885.4119780832432,1860.131121064687,1883.0556800617687,1383203
2024-10-16,1863.910888671875,1879.8156900335875,1852.6204092303549,1874.170450312827,1401914
2024-10-17,1855.1240234375,1888.602725918727,1845.4043692084228,1888.504571804553,1447059
2024-10-18,1875.5450439453125,1882.957537384789,1838.5809705573688,1865.3836360026623,1203693
