date,series,log_return,hl_range,gap,log_volume,close
2012-01-03,SUNPHARMA.NS,0.85457251915166,1.144248613640541,0.7644303523929411,13.98418356223886,225.2439727783203
2012-01-04,SUNPHARMA.NS,0.3597536897838032,2.6494926458573143,0.13006489065073076,14.582094521194952,226.05575561523438
2012-01-05,SUNPHARMA.NS,-0.27968597465934175,2.697507110523974,0.33858604807337733,15.098815201972341,225.4243927001953
2012-01-06,SUNPHARMA.NS,0.0199933807279684,1.8991075505317017,-0.20027224363943275,14.939778572515989,225.46946716308594
2012-01-09,SUNPHARMA.NS,1.1039806012423083,1.8460266690852565,1.2818626329107394,14.474468386817392,227.97239685058594
2012-01-10,SUNPHARMA.NS,2.1236975966235843,2.541640809752513,0.31604279679191655,14.340179321799749,232.86561584472656
2012-01-11,SUNPHARMA.NS,0.8293170256964173,2.735399675577262,0.5600555145776118,13.786093075736586,234.80484008789062
2012-01-12,SUNPHARMA.NS,-0.11531083017880903,1.939752647454305,-0.6358464767779094,13.523130801988568,234.53424072265625
2012-01-13,SUNPHARMA.NS,-1.2480195692615248,2.6942271333296257,0.019237792028667627,13.78834797250081,231.62539672851562
2012-01-16,SUNPHARMA.NS,-1.5896842228796522,2.761516703297339,0.07783847658424962,13.477277371781081,227.97239685058594
2012-01-17,SUNPHARMA.NS,2.055868129671884,2.8432354327564697,0.09885851026217227,14.428405467227094,232.7077178955078
2012-01-18,SUNPHARMA.NS,0.28064804395452636,1.9387967194843618,0.7530087083437786,14.085423948250382,233.36172485351562
2012-01-19,SUNPHARMA.NS,1.8571899944452408,3.199126957107584,0.5588330773509654,14.223310937203008,237.73619079589844
2012-01-20,SUNPHARMA.NS,0.18955367788883476,2.801089257432807,0.7653777426423621,14.396689327624346,238.187255859375
2012-01-23,SUNPHARMA.NS,-0.9894502242951128,2.7674314344763413,0.3496623760304034,13.464185563206536,235.84213256835938
2012-01-24,SUNPHARMA.NS,-1.2991574358974445,3.1293170328808775,0.353132907817064,13.736479255314865,232.79798889160156
2012-01-25,SUNPHARMA.NS,0.21285417192621275,1.3327139626065918,0.6949687030676305,13.985245737585817,233.29403686523438
2012-01-27,SUNPHARMA.NS,2.1987348300230267,2.276058423844874,2.4065438418832246,14.65118238286062,238.48036193847656
2012-01-30,SUNPHARMA.NS,0.9035995983422322,3.6044154566541997,-0.8165025028148396,14.934436127836385,240.64503479003906
2012-01-31,SUNPHARMA.NS,2.7541050848877773,3.109444658507104,0.9698193013841507,14.51501896296636,247.36476135253906
2012-02-01,SUNPHARMA.NS,0.20031988728276845,2.3996810555683377,0.9886954389223104,14.166355440071378,247.86077880859375
2012-02-02,SUNPHARMA.NS,-1.0425060795206245,3.5429526364339234,0.2816536594744924,14.893602742010893,245.2902374267578
2012-02-03,SUNPHARMA.NS,2.254215351878286,3.2789822822990757,-0.7196402060891963,14.56281679768253,250.8824005126953
2012-02-06,SUNPHARMA.NS,-1.658475757893889,4.590490463453721,0.8413115458886931,14.400894895142024,246.75588989257812
2012-02-07,SUNPHARMA.NS,-0.540595784444711,4.217633127409362,1.5505795628078654,14.73810974959748,245.425537109375
2012-02-08,SUNPHARMA.NS,1.1873308299702279,3.2603709873010054,0.192749494661456,14.507161119147938,248.35691833496094
2012-02-09,SUNPHARMA.NS,-1.454140353340426,2.983668577770242,0.1270330574390561,14.603952009111085,244.77159118652344
2012-02-10,SUNPHARMA.NS,-0.23979953497026835,1.3202470774724298,0.2300502886776002,14.462789177313473,244.18533325195312
2012-02-13,SUNPHARMA.NS,2.137832684408181,2.286282953709945,1.019787264872072,15.207038947627714,249.46180725097656
