method,MSE_mean,MSE_std,MAE_mean,MAE_std,MASE_mean,MASE_std,key_RMSE_mean,key_RMSE_std,key_MAE_mean,key_MAE_std,feat_mmd_mean,feat_mmd_std,GCR_MSE_mean,GCR_MSE_std,forgetting_%_mean,forgetting_%_std
seasonal_naive,0.2246200144290924,,0.30205038189888,,1.0246586799621582,,4.769885540008545,,3.5202701091766357,,,,,,,
source_only,0.1727894792954127,0.0036118419292899212,0.2819062868754069,0.003176180421303335,0.9576759934425354,0.010496077818745638,4.654179414113362,0.04498527843162926,3.5996761322021484,0.036999286411714,0.18334666887919107,0.0629632511565712,0.0,0.0,0.0,0.0
dann,0.21714754899342856,0.020393839170125366,0.3199399709701538,0.01688952105012706,1.083780845006307,0.057394315329027765,5.648828506469727,0.376166131854331,4.426649570465088,0.3508369294836279,1.4476711750030518,0.7621810556874379,-26.55215362488055,34.16936538915387,12.648514408110946,2.3244071154970283
coral,0.1924957980712255,0.006102945531540788,0.29788055022557575,0.004756676446649431,1.0109367370605469,0.01521864277776033,5.2325202624003095,0.17874880391944395,4.0488152503967285,0.12796266690893887,0.08540089925130208,0.021418648654103506,-8.316577967693272,8.189580456931308,12.545908639903516,1.1551737303912915
mmd,0.16521214445432028,0.003569214348394575,0.2743937472502391,0.003875883122742379,0.9310043652852377,0.013205583912034177,4.488051573435466,0.16178536674613653,3.438173453013102,0.1374123022872702,0.039980808893839516,0.005575497981965807,3.3514760685367864,3.541552361217398,-2.9668894626261806,2.0301031888091425
care_noalign,0.18053759634494781,0.008552118364890662,0.2898569504419963,0.008740920275392595,0.9856675863265991,0.030597440707878606,4.784983158111572,0.1734648328533578,3.702042023340861,0.15186092499943074,0.49987061818440753,0.08127544967043955,-1.9726884724114182,0.8162781661266265,-0.8324289665049575,0.8814268838038329
care_nossl,0.1616875429948171,0.0037021387585657,0.27045095960299176,0.00413996865780411,0.9168582955996195,0.014092600756426812,4.351852575937907,0.09603758056105592,3.316171884536743,0.09839007414822161,0.06520660718282063,0.0007769277332515176,4.710005259892973,4.702655520627345,-5.635366028145665,0.4634824144077451
care_noanchor,0.17260477443536124,0.003925734515694458,0.28155731161435443,0.003328310984360395,0.954164445400238,0.01033916261879275,4.695249080657959,0.07378878809807729,3.6303864320119223,0.05536907258199772,0.04550751050313314,0.0037844457685213034,0.06274279717054804,0.16213571175977318,0.2148184640209901,1.3207304101129456
care,0.16708060602347055,0.004059022738528786,0.2764057219028473,0.004265244097769828,0.9375441670417786,0.014182438906316435,4.52459716796875,0.07838064002374942,3.477221647898356,0.06955179494236545,0.037763357162475586,0.0007448929031426798,2.7334200752315456,3.117053077650806,-3.5666468491052967,0.6589542716368091
target_only,0.1773540327946345,0.005191866260043364,0.28251445293426514,0.005183090369989642,0.9569511016209921,0.017964618609902512,4.538833300272624,0.0862029030729288,3.423980394999186,0.10827743391102015,0.13518174489339194,0.03314853255503858,-1.478989830114491,0.996102779912512,31.32496176277978,1.7666197456152894
oracle_finetune,0.167612224817276,0.0013228458638544739,0.27117181817690533,0.001568026259039152,0.9179691672325134,0.006083384657575287,4.262830893198649,0.057391743153873596,3.1666508515675864,0.06222152346651296,0.12268026669820149,0.035190463639602536,1.0,0.0,6.067970146580071,4.580877648253763
